云南省云县幸福糖业有限公司 (滇)XK13-001-00076
福州市台江区小钱宝岛眼镜店 (闽)XK16-005-00737
福州伟林眼镜有限公司 (闽)XK16-005-00737
晶华宝岛（福建）眼镜有限公司福州第一分店 (闽)XK16-005-00737
闽侯县上街小魏宝岛眼镜店 (闽)XK16-005-00737
福州市晋安区小钱眼镜店 (闽)XK16-005-00737
龙岩市新罗区南方眼镜店一中店 (闽)XK16-005-00203
南平市延平区嘉联眼镜店 (闽)XK16-005-00510
南平市延平区延福眼镜店 (闽)XK16-005-00510
南平市延平区陈氏黎明鼓楼一所眼镜行 (闽)XK16-005-00307
三明市三元区新华视眼镜行 (闽)XK16-005-00247
三明市三元区百视力眼镜店 (闽)XK16-005-00392
思明中山来雅 (闽)XK16-005-00075
厦门宝岛眼镜有限公司湖滨北分公司 (闽)XK16-005-00075
米兰米蓝 (闽)XK16-005-00075
厦门市集美区亮彩眼镜店 (闽)XK16-005-00075
厦门SM来雅 (闽)XK16-005-00075
厦门宝岛眼镜有限公司莲花分公司 (闽)XK16-005-00075
厦门宝岛眼镜有限公司松柏分公司 (闽)XK16-005-00075
厦门宝岛眼镜有限公司前埔分店 (闽)XK16-005-00075
厦门宝岛眼镜有限公司金鸡亭分公司 (闽)XK16-005-00075
厦门宝岛眼镜有限公司湖里分公司 (闽)XK16-005-00075
厦门宝岛眼镜有限公司永升新城分公司 (闽)XK16-005-00075
厦门宝岛眼镜有限公司岳阳分公司 (闽)XK16-005-00075
厦门宝岛眼镜有限公司禾祥西分公司 (闽)XK16-005-00075
厦门宝岛眼镜有限公司金尚分公司 (闽)XK16-005-00075
厦门市集美区谢恩堂眼镜店 (闽)XK16-005-00542
厦门市集美区石鼓庄视眼镜店 (闽)XK16-005-00542
厦门市集美区得恩堂眼镜店 (闽)XK16-005-00542
厦门市集美区感恩堂眼镜店 (闽)XK16-005-00542
厦门市思明区精治眼镜店 (闽)XK16-005-00265
厦门市思明区佳视医眼镜店 (闽)XK16-005-00265
厦门市思明区视力复健眼镜店 (闽)XK16-005-00265
厦门市思明区易配网眼镜店 (闽)XK16-005-00265
厦门市海沧区鑫爵眼镜店 (闽)XK16-005-00265
厦门市湖里区视光眼镜店 (闽)XK16-005-00265
厦门市思明区好好视力眼镜店 (闽)XK16-005-00265
厦门市思明区创事眼镜店 (闽)XK16-005-00265
厦门市思明区爱视眼镜店 (闽)XK16-005-00265
厦门市思明区盼盼熊眼镜店 (闽)XK16-005-00265
厦门市中闽百汇商业有限公司鹭达眼镜专柜 (闽)XK16-005-00265
厦门市思明区顶好视力眼镜店 (闽)XK16-005-00265
厦门市湖里区鹭达明眼镜店 (闽)XK16-005-00265
厦门市蓓蕾中小学生视力保健所 (闽)XK16-005-00265
福州市仓山区鹭鹭达眼镜店 (闽)XK16-005-00265
厦门市欧野实业有限公司SM莱雅分店 (闽)XK16-005-00675
厦门市思明区爱视博眼镜店 (闽)XK16-005-00534
厦门市湖里区华盛视眼镜店 (闽)XK16-005-00746
厦门市湖里区炫视眼镜店 (闽)XK16-005-00746
邵武市姜玉坤眼镜店八一路分店 (闽)XK16-005-00297
泰宁县宝岛眼镜店 (闽)XK16-005-00507
厦门宝岛眼镜有限公司演武分公司 (闽)XK16-005-00075
福州市台江区张丽琴宝岛眼镜店 (闽)XK16-005-00423
福清市融城燕敏眼镜店 (闽)XK16-005-00423
石狮市宝湖亨得利眼镜店 (闽)XK16-005-00122
宁德市蕉城区蕉南东大眼镜店 (闽)XK16-005-00437
福州市台江区睛彩眼镜商行 (闽)XK16-005-00703
漳浦县赤湖圆明眼镜店 (闽)XK16-005-00405
建瓯市龙马眼镜行 (闽)XK16-005-00302
厦门市集美区正康眼镜店 (闽)XK16-005-00594
永春县达埔新大明眼镜行 (闽)XK16-005-00600
惠安县螺城光明眼镜店 (闽)XK16-005-00287
德化县新华眼镜店 (闽)XK16-005-00605
建阳市城关亨得利眼镜行 (闽)XK16-005-00341
福州邦尼眼镜有限公司 (闽)XK16-005-00713
华安县光明眼镜行 (闽)XK16-005-00432
南靖县山城生顺眼镜店 (闽)XK16-005-00355
福州市晋安区鸿旺宝岛眼镜店 (闽)XK16-005-00438
松溪县宝岛眼镜店 (闽)XK16-005-00347
惠安县小邓眼镜店 (闽)XK16-005-00668
平和县爱眼城眼镜店 (闽)XK16-005-00647
闽清县梅城宝岛眼镜行 (闽)XK16-005-00364
南安市溪美富华钟表眼镜百货店 (闽)XK16-005-00691
平潭县城关东南眼镜店 (闽)XK16-005-00402
漳浦县赤湖明亮眼镜店 (闽)XK16-005-00400
平和县精益眼镜店 (闽)XK16-005-00723
建阳市桥南康明眼镜行 (闽)XK16-005-00333
邵武市康视眼镜店 (闽)XK16-005-00616
漳州市芗城区六六眼镜店 (闽)XK16-005-00742
晋江市东石镇千叶眼镜店 (闽)XK16-005-00491
泰宁县城关康视眼镜店 (闽)XK16-005-00416
晋江市安海镇视界眼镜店 (闽)XK16-005-00633
福鼎市海昌眼镜店 (闽)XK16-005-00686
晋江市深沪镇华光眼镜店 (闽)XK16-005-00606
南安市水头辉达钟表眼镜商店 (闽)XK16-005-00462
南靖县华昌眼镜店 (闽)XK16-005-00345
福鼎市博视眼镜店 (闽)XK16-005-00705
宁德市蕉城区蕉南直通车眼镜超市 (闽)XK16-005-00714
南安市梅山富鸿眼镜行 (闽)XK16-005-00457
福州市仓山区泰丰眼镜店 (闽)XK16-005-00627
福州市仓山区宝玉眼镜店 (闽)XK16-005-00701
永春县蓬壶康达眼镜店 (闽)XK16-117-00051
晋江市安海镇启明星眼镜店 (闽)XK16-005-00458
东山县西埔镇宝岛眼镜连锁店 (闽)XK16-005-00689
福州市鼓楼区康视眼镜店 (闽)XK16-005-00590
沙县城关宝岛眼镜行 (闽)XK16-005-00424
德化县小林眼镜店 (闽)XK16-005-00604
南安市官桥镇华视眼镜店 (闽)XK16-005-00622
武夷山市金冠眼镜行 (闽)XK16-005-00482
云霄县明视眼镜店 (闽)XK16-117-00035
丰泽区志明眼镜店 (闽)XK16-005-00631
福建永春县明海电器有限公司 (闽)XK16-005-00598
漳州市芗城区博士眼镜店 (闽)XK16-005-00715
平潭县城关新视界眼镜店 (闽)XK16-005-00629
建瓯市亨得利眼镜店 (闽)XK16-005-00643
三明市宝岛眼镜有限公司 (闽)XK16-005-00383
柘荣县康视眼镜店 (闽)XK16-005-00378
大田县博士眼镜店 (闽)XK16-005-00611
晋江市安海时光眼镜店 (闽)XK16-005-00447
建瓯市精益眼镜店 (闽)XK16-005-00304
连江县凤城豪华眼镜店 (闽)XK16-005-00443
永安市新世界港台眼镜店 (闽)XK16-005-00612
福州市晋安区精工眼镜行 (闽)XK16-005-00589
晋江市英林镇英林千叶眼镜店 (闽)XK16-005-00626
建瓯市中视眼镜商行 (闽)XK16-005-00305
惠安县茂昌眼镜店 (闽)XK16-005-00450
浦城县精益眼镜店 (闽)XK16-005-00354
永春县桃城镇瑞明眼镜店 (闽)XK16-005-00718
南平市延平区佳视眼镜店 (闽)XK16-005-00327
闽侯县甘蔗环岛眼镜店 (闽)XK16-005-00670
厦门市集美区宝岛之星眼镜店 (闽)XK16-005-00595
南靖县新视觉眼镜店 (闽)XK16-005-00344
武夷山市小林宝岛眼镜商店 (闽)XK16-005-00319
武夷山市华光眼镜行 (闽)XK16-005-00326
云霄县金国宝岛眼镜店 (闽)XK16-005-00745
晋江市永和镇新明眼镜店 (闽)XK16-005-00492
莆田市城厢区金睛眼镜店 (闽)XK16-005-00707
永春县桃城北极星眼镜店 (闽)XK16-005-00667
武夷山市视康眼镜店 (闽)XK16-005-00614
永春明视眼镜有限公司 (闽)XK16-005-00717
明溪县华益眼镜店 (闽)XK16-005-00469
惠安县东园佳和眼镜店 (闽)XK16-005-00286
南平市亨得利眼镜有限公司 (闽)XK16-005-00338
建宁县濉溪镇宝岛眼镜连锁店 (闽)XK16-005-00727
沙县亨得利眼镜城关店 (闽)XK16-005-00645
德化县茂杞眼镜店 (闽)XK16-005-00464
政和县亨得利眼镜顺发店 (闽)XK16-005-00337
沙县城关雪亮眼镜商店 (闽)XK16-005-00425
安溪县凤城博士眼镜店 (闽)XK16-005-00603
南安市洪濑全成钟表眼镜商店 (闽)XK16-005-00693
龙岩市新罗区友玲眼镜店 (闽)XK16-005-00685
福清市玉屏晶晶眼镜店 (闽)XK16-005-00433
厦门市海沧区海富中视眼镜店 (闽)XK16-005-00387
光泽县宝岛眼镜商行 (闽)XK16-005-00644
龙岩市新罗区新视界眼镜店 (闽)XK16-005-00656
晋江市深沪镇宝岛眼镜店 (闽)XK16-005-00456
闽清县梅城爱视眼镜店 (闽)XK16-005-00702
莆田市涵江区江口富民眼镜店 (闽)XK16-005-00396
福清市玉屏大众眼镜商行 (闽)XK16-005-00592
柘荣县东方宝岛眼镜店 (闽)XK16-005-00273
晋江市龙湖镇妈居眼镜店 (闽)XK16-005-00455
漳州市芗城明益眼镜店 (闽)XK16-005-00385
邵武市城关亨得利眼镜行 (闽)XK16-005-00351
漳州市芗城区雪亮眼镜店 (闽)XK16-005-00430
南安市官桥新华眼镜店 (闽)XK16-005-00654
南靖县靖城宝视眼镜店 (闽)XK16-005-00411
泉州市洛江区马甲全成眼镜店 (闽)XK16-005-00695
厦门市思明区小康康眼镜店 (闽)XK16-005-00473
南安市溪美富闽眼镜店 (闽)XK16-005-00690
南安市梅山华视眼镜店 (闽)XK16-005-00735
厦门市湖里区康视宝眼镜店 (闽)XK16-005-00480
平和县新化昌眼镜店 (闽)XK16-005-00724
晋江市英林镇三联宝岛眼镜店 (闽)XK16-005-00676
漳平市真明视眼镜店 (闽)XK16-005-00730
厦门市海沧区华日辉眼镜店 (闽)XK16-005-00277
政和县新华眼镜行 (闽)XK16-005-00356
福州市鼓楼区精益眼镜店 (闽)XK16-005-00422
厦门市思明区博视明眼镜店 (闽)XK16-005-00495
尤溪县城关亨得利眼镜经销店 (闽)XK16-005-00363
晋江市青阳新友谊眼镜店 (闽)XK16-005-00448
南安市水头晴明眼镜店 (闽)XK16-005-00454
浦城县富民眼镜商店 (闽)XK16-005-00353
永定县抚市宝岛眼镜店 (闽)XK16-005-00609
长汀县宝岛眼镜店 (闽)XK16-005-00406
晋江市深沪镇圣光钟表眼镜店 (闽)XK16-005-00602
漳平市铭博眼镜店 (闽)XK16-005-00640
永春县桃城康明宝岛眼镜店 (闽)XK16-117-00040
厦门市集美区宝之光眼镜店 (闽)XK16-005-00593
漳浦县杜浔镇正乾眼镜店 (闽)XK16-005-00397
建瓯市光明钟表眼镜店 (闽)XK16-005-00303
福安市甘棠镇光明眼镜店 (闽)XK16-005-00380
柘荣县心灵之窗眼镜店 (闽)XK16-005-00706
邵武市新华眼镜店 (闽)XK16-005-00360
福清市宏路利民眼镜店 (闽)XK16-005-00358
安溪县官桥佳美眼镜店 (闽)XK16-005-00719
漳浦县绥安广明眼镜店 (闽)XK16-005-00398
南安市水头眼妆眼镜店 (闽)XK16-005-00733
厦门市同安区弈威中视眼镜店 (闽)XK16-005-00387
漳州市芗城区明亮大众眼镜店 (闽)XK16-117-00063
南靖县龙山康明宝岛眼镜店 (闽)XK16-005-00343
光泽县明视眼镜店 (闽)XK16-005-00642
南平蓝天百货有限公司 (闽)XK16-005-00618
建阳市城关大光明眼镜店 (闽)XK16-005-00357
厦门明之惠眼镜有限公司 (闽)XK16-005-00348
武夷山市宝岛眼镜行 (闽)XK16-005-00613
光泽县亨达利眼镜店 (闽)XK16-005-00663
安溪县凤城美视嘉眼镜店 (闽)XK16-005-00722
宁化县城关大明眼镜店 (闽)XK16-005-00322
南安市洪濑益明眼镜行 (闽)XK16-005-00463
南安市梅山睛彩眼镜行 (闽)XK16-005-00696
福州市鼓楼区鸿视眼镜店 (闽)XK16-005-00680
漳州市芗城区新视界眼镜店 (闽)XK16-005-00716
南平市延平区雪亮眼镜行 (闽)XK16-005-00395
晋江市英林镇宝岛眼镜店 (闽)XK16-005-00461
顺昌县精益眼镜店 (闽)XK16-005-00371
安溪县凤城光明岛眼镜店 (闽)XK16-005-00466
福清市音西爱博眼镜店 (闽)XK16-005-00581
南平市延平区世纪宝岛眼镜店 (闽)XK16-005-00474
云霄县亨得利眼镜店 (闽)XK16-117-00038
南靖县山城东方明珠眼镜店 (闽)XK16-005-00346
三明市三元区宝岛眼镜店 (闽)XK16-005-00414
惠安县涂寨益视眼镜中心 (闽)XK16-005-00288
漳平市光明眼镜行 (闽)XK16-117-00004
福鼎市明视眼镜店 (闽)XK16-005-00682
漳州市芗城区美华光眼镜店 (闽)XK16-005-00418
南靖县金山镇闽视眼镜店 (闽)XK16-005-00679
福州市仓山区富桦眼镜店 (闽)XK16-005-00585
龙海市海澄志阳眼镜商店 (闽)XK16-005-00427
漳州开发区火星眼镜店 (闽)XK16-005-00658
厦门市思明区晴彩眼镜店 (闽)XK16-005-00282
厦门市集美区月亮岛眼镜店 (闽)XK16-005-00623
寿宁县鳌阳镇精华眼镜店 (闽)XK16-005-00270
厦门市湖里区睛华眼镜店 (闽)XK16-005-00704
厦门市思明区爱眼城眼镜店 (闽)XK16-005-00440
南靖县精工眼镜店 (闽)XK16-005-00436
武夷山市今视宝岛眼镜店 (闽)XK16-005-00617
安溪县蓬莱明视眼镜店 (闽)XK16-005-00446
武夷山市新潮眼镜行 (闽)XK16-005-00483
将乐县城关明视眼镜店 (闽)XK16-005-00366
漳浦县绥安蔡炳森眼镜一店 (闽)XK16-005-00607
闽侯县上街精益眼镜店江夏分店 (闽)XK16-005-00587
福安市赛岐华视眼镜店 (闽)XK16-005-00279
邵武市周亮万荣眼镜店 (闽)XK16-005-00615
龙海市海澄聪祥眼镜店 (闽)XK16-005-00377
惠安县螺城精益眼镜店 (闽)XK16-005-00285
霞浦县好视丽眼镜城 (闽)XK16-005-00382
荔城区镇海益民眼镜店 (闽)XK16-005-00401
将乐县好眼光眼镜行 (闽)XK16-005-00368
闽侯县上街大光明眼镜店 (闽)XK16-005-00669
福州市仓山区新明爱眼眼镜经营部 (闽)XK16-005-00586
武夷山市华光眼镜店 (闽)XK16-005-00326
福安市晶晶眼镜店 (闽)XK16-005-00681
罗源县城关东南眼镜商店 (闽)XK16-005-00661
龙海市港尾娜红钟表眼镜店 (闽)XK16-005-00376
南安市官桥德强眼镜行 (闽)XK16-005-00459
厦门市思明区博四康眼镜店 (闽)XK16-005-00597
厦门市豹龙眼镜有限公司 (闽)XK16-005-00740
龙岩市新罗区欣视丽眼镜店 (闽)XK16-005-00748
建阳市童游视点康明眼镜店 (闽)XK16-005-00619
晋江市龙湖镇德兴富民眼镜店 (闽)XK16-005-00465
厦门市翔安区鑫点睛眼镜店 (闽)XK16-005-00636
连城县莲峰镇舒视眼镜店 (闽)XK16-005-00639
霞浦康明医院 (闽)XK16-005-00421
漳州市芗城区精功眼镜超市 (闽)XK16-005-00479
厦门市翔安区搏视康眼镜店 (闽)XK16-005-00596
光泽县腾飞眼镜店 (闽)XK16-005-00641
长汀县佳视眼镜店 (闽)XK16-005-00409
南安市官桥皇冠眼镜店 (闽)XK16-005-00451
平和县博林眼镜行 (闽)XK16-005-00342
连城县莲峰回元眼镜店 (闽)XK16-005-00646
霞浦三沙大光明眼镜行 (闽)XK16-005-00498
晋江市安海镇玉声钟表眼镜商店 (闽)XK16-005-00634
厦门市集美区敏视眼镜店 (闽)XK16-005-00638
龙岩市新罗区世家眼镜店 (闽)XK16-005-00666
宁化县城关海鸥眼镜店 (闽)XK16-117-00041
永春县桃城镇万博士眼镜店 (闽)XK16-005-00621
长泰县康视眼镜行 (闽)XK16-005-00408
武夷山市亨得利眼镜店 (闽)XK16-005-00301
厦门市思明区鑫悦视眼镜店 (闽)XK16-005-00477
石狮市宝达眼镜商行 (闽)XK16-005-00490
东山县西埔镇博视眼镜店 (闽)XK16-005-00481
漳州市芗城区永光眼镜店 (闽)XK16-005-00420
晋江市英林镇新华眼镜店 (闽)XK16-005-00655
漳州市芗城区同视眼镜店 (闽)XK16-005-00350
福建富民光学眼镜有限公司 (闽)XK16-005-00396
福建省南安市水头博士眼镜经营部 (闽)XK16-005-00494
泉州市鲤城区最加眼镜店 (闽)XK16-005-00493
泉州市鲤城区利鑫眼镜商店 (闽)XK16-005-00444
龙岩市新罗区佳明眼镜店 (闽)XK16-005-00738
永定县友谊眼镜店 (闽)XK16-005-00608
南平市政和县大光明眼镜店 (闽)XK16-005-00624
邵武市新视明眼镜店 (闽)XK16-005-00478
漳浦县绥安精益眼镜行 (闽)XK16-005-00399
石狮市精功眼镜店 (闽)XK16-005-00660
福州市仓山区兴中视眼镜店 (闽)XK16-005-00657
德化县康明眼镜行 (闽)XK16-005-00489
晋江市英林镇佳明眼镜店 (闽)XK16-005-00460
厦门市思明区澳视眼镜店 (闽)XK16-005-00431
三明市梅列区小邵眼镜店 (闽)XK16-005-00365
莆田市涵江区明朗眼镜店 (闽)XK16-005-00428
南安市洪濑新视界眼镜验配专营店 (闽)XK16-005-00734
福州市鼓楼区义文眼镜商店 (闽)XK16-005-00373
柘荣县谢氏眼镜店 (闽)XK16-005-00381
惠安崇武舒适配镜中心 (闽)XK16-005-00710
泉州市鲤城鲤中精明眼镜店 (闽)XK16-117-00005
将乐县宝岛眼镜连锁中国第181店 (闽)XK16-005-00684
福州市仓山区创辉眼镜店 (闽)XK16-005-00591
惠安县新世纪康视眼镜店 (闽)XK16-005-00452
长汀县精益桥下坝眼镜店 (闽)XK16-005-00394
宁德市蕉城区蕉南富宁眼镜店 (闽)XK16-005-00184
建阳市眼视光眼镜行 (闽)XK16-005-00750
安溪县凤城阳光眼镜店 (闽)XK16-005-00467
屏南县明视眼镜行 (闽)XK16-005-00274
长泰县晟锟眼镜店 (闽)XK16-005-00678
闽侯县上街宝视明眼镜店 (闽)XK16-005-00588
邵武市余氏眼镜店 (闽)XK16-005-00334
晋江市青阳佳视眼镜店 (闽)XK16-005-00749
福州市晋安区老百姓眼镜店 (闽)XK16-005-00429
三明市梅列区广视眼镜 (闽)XK16-005-00413
南平市延平区明视眼镜商行 (闽)XK16-005-00720
将乐县明视达眼镜店 (闽)XK16-005-00412
南安市梅山佳毅眼镜店 (闽)XK16-005-00688
泉州市鲤城区临江迦南钟表眼镜店 (闽)XK16-005-00488
石狮市康明眼镜店 (闽)XK16-005-00664
厦门市湖里区慧之眼眼镜经营部 (闽)XK16-005-00283
宁德市康明眼镜有限公司 (闽)XK16-005-00625
永泰县樟城新宝视眼镜店 (闽)XK16-005-00582
福州市仓山区龙城眼镜店 (闽)XK16-005-00384
清流县城关明光钟表眼镜店 (闽)XK16-117-00008
长汀县雪亮眼镜店 (闽)XK16-005-00407
城厢区新宝视眼镜店 (闽)XK16-005-00708
南平市延平区黎明眼镜行 (闽)XK16-005-00307
宁德市蕉城区蕉南世纪精功眼镜行 (闽)XK16-005-00649
龙岩市新罗区新鹭达眼镜店 (闽)XK16-005-00743
龙岩市新罗区富民眼镜店 (闽)XK16-005-00410
寿宁县鳌阳镇世纪宝岛眼镜行 (闽)XK16-005-00677
福州市仓山区鑫东南眼镜店 (闽)XK16-005-00584
厦门市集美区金宝湾眼镜店 (闽)XK16-005-00485
丰泽区林长生眼镜店 (闽)XK16-005-00659
龙岩市新罗区华都眼镜店 (闽)XK16-005-00610
漳州市芗城波光眼镜店 (闽)XK16-005-00419
沙县城关非常骄点眼镜店 (闽)XK16-005-00426
南安市石井镇鸿源眼镜店 (闽)XK16-005-00620
古田县鹤塘镇亨得利眼镜店 (闽)XK16-005-00284
连江县凤城镇建国眼镜店 (闽)XK16-005-00442
泉州市泉港区山腰锦玉眼镜店 (闽)XK16-005-00449
福州市仓山区盛榕眼镜店 (闽)XK16-005-00403
安溪县蓬莱中视眼镜店 (闽)XK16-005-00601
南平市宝岛眼镜有限公司 (闽)XK16-005-00359
莆田市荔城区高明眼镜店 (闽)XK16-005-00709
南安市丰州宝岛眼镜店 (闽)XK16-005-00671
宁德市蕉城区蕉南港岛眼镜店 (闽)XK16-005-00650
晋江市安海镇新华眼镜店 (闽)XK16-005-00653
晋江市金井视宝眼镜店 (闽)XK16-005-00453
厦门市集美区亮视眼镜店 (闽)XK16-005-00281
福州市鼓楼区尚光眼镜店 (闽)XK16-005-00439
泉州台商投资区亮明视眼镜店 (闽)XK16-005-00747
厦门市海沧区美视眼镜店 (闽)XK16-005-00637
尤溪县西城眼之悦眼镜店 (闽)XK16-005-00497
南靖县博士眼镜店 (闽)XK16-005-00335
长乐市金峰盛榕眼镜店 (闽)XK16-005-00403
平潭县城关华视眼镜店 (闽)XK16-005-00583
晋江市安海镇精益眼镜店 (闽)XK16-005-00651
建瓯市宝岛专业配镜中心 (闽)XK16-005-00306
顺昌县名视眼镜店 (闽)XK16-005-00325
长乐市金峰爱视眼镜店 (闽)XK16-005-00729
鲤城区六六眼镜店 (闽)XK16-005-00628
南安市水头方圆钟表眼镜经营部 (闽)XK16-005-00739
泉州市鲤城开元永明眼镜店 (闽)XK16-117-00012
漳州市芗城区爱眼眼镜店 (闽)XK16-005-00725
晋江市金井镇新精益眼镜店 (闽)XK16-005-00662
龙岩市康月眼镜有限公司 (闽)XK16-005-00291
南安市溪美华明眼镜店 (闽)XK16-005-00694
惠安县大明眼镜店 (闽)XK16-005-00744
龙海市海澄鑫兰眼镜店 (闽)XK16-005-00375
三明市三元区东方眼镜经营部 (闽)XK16-005-00404
建阳市城关华视眼镜行 (闽)XK16-005-00308
晋江市内坑镇富一民眼镜店 (闽)XK16-005-00635
南安市柳城保视明眼镜店 (闽)XK16-005-00692
永泰县樟城精明眼镜店 (闽)XK16-005-00372
明溪县城关新东方眼镜行 (闽)XK16-117-00009
石狮市名仕眼镜店 (闽)XK16-005-00698
连江县凤城镇明光眼镜店 (闽)XK16-005-00441
大田县华医视光眼镜店 (闽)XK16-005-00367
武夷山市精益眼镜店 (闽)XK16-005-00486
晋江市安海镇华视眼镜店 (闽)XK16-005-00652
建阳市明视眼镜行 (闽)XK16-005-00336
泉州市鲤城区鹰视眼镜店 (闽)XK16-005-00599
福安市眼之悦眼镜店 (闽)XK16-005-00379
建阳市精益眼镜店 (闽)XK16-005-00332
福安市甘棠宝岛眼镜店 (闽)XK16-005-00687
大田县建设镇余爱华眼镜店 (闽)XK16-005-00417
南安市丰州镇明视眼镜店 (闽)XK16-005-00742
永泰县樟城三叶眼镜店 (闽)XK16-005-00374
连城县视康眼镜专业店 (闽)XK16-005-00098
连锁295店（惠安县洛阳宝岛眼镜店） (闽)XK16-005-00094
惠安县崇武富豪眼镜商行（林惠文） (闽)XK16-005-00221
石狮市益民眼镜店 (闽)XK16-005-00121
闽侯县上街宝岛眼镜闽江学院店 (闽)XK16-005-00094
福州宝岛眼镜有限公司厦门第六经营部 (闽)XK16-005-00094
龙岩市新罗区明视眼镜店 (闽)XK16-005-00103
新罗区闽视眼镜店 (闽)XK16-005-00099
厦门市海沧区宝岛阳光眼镜店 (闽)XK16-005-00083
福州宝岛光学有限公司 (闽)XK16-005-00094
连锁287店（德化县宝岛眼镜店） (闽)XK16-005-00094
闽侯县上街宝岛眼镜商贸街店 (闽)XK16-005-00094
福州宝岛眼镜有限公司厦门第七经营部 (闽)XK16-005-00094
安溪县凤城镇新华眼镜店 (闽)XK16-005-00129
闽侯县上街师大宝岛眼镜店 (闽)XK16-005-00094
漳州市地球钟表眼镜有限公司平和分公司 (闽)XK16-117-00044
宁德市蕉城区蕉北皇视眼镜店 (闽)XK16-005-00094
泉州市鲤城区科视眼镜店 (闽)XK16-117-00057
云霄县光明实业有限公司光明眼镜分公司 (闽)XK16-005-00091
惠安县崇武镇红宝岛眼镜店 (闽)XK16-005-00221
南安市石井宝岛眼镜店 (闽)XK16-005-00094
漳州市地球钟表眼镜有限公司瑞京路分店 (闽)XK16-117-00044
石狮市哈哈眼镜店 (闽)XK16-005-00124
莆田市城厢区华亭宝岛眼镜店 (闽)XK16-005-00094
闽侯县甘蔗宝岛眼镜店 (闽)XK16-005-00094
云霄县新宝岛眼镜店 (闽)XK16-005-00151
石狮联港眼镜店 (闽)XK16-005-00178
石狮市建民眼镜店 (闽)XK16-005-00179
福州市晋安区宝岛眼镜（象园）分店 (闽)XK16-005-00094
大田县岩视眼镜店（原：大田县岩视眼镜零售店） (闽)XK16-117-00028
石狮市博士眼镜店 (闽)XK16-005-00180
福鼎市精益眼镜店 (闽)XK16-005-00127
德化康明眼镜行 (闽)XK16-005-00146
漳州市芗城区明视眼镜店 (闽)XK16-117-00058
莆田市秀屿区埭头宝岛眼镜店 (闽)XK16-005-00094
闽侯县上街爱眼眼镜店 (闽)XK16-005-00244
龙岩市新罗区视康眼镜二店 (闽)XK16-005-00100
福州市晋安区宝岛眼镜店盛天现代城分店 (闽)XK16-005-00094
漳平市益明眼镜行 (闽)XK16-005-00096
厦门市集美区康视眼镜店 (闽)XK16-005-00117
厦门市集美区永亮宝岛眼镜店 (闽)XK16-005-00086
上杭县城区爱眼城眼镜店 (闽)XK16-005-00097
龙岩市新罗区视康眼镜店 (闽)XK16-005-00101
福州市鼓楼区宝岛眼镜温泉支路店 (闽)XK16-005-00094
罗源县东方眼镜店 (闽)XK16-005-00225
惠安县亨得利眼镜店 (闽)XK16-005-00104
泰宁县亨得利金耀眼镜店 (闽)XK16-005-00507
石狮市中视眼镜店 (闽)XK16-005-00571
莆田市涵江区精益眼镜店 (闽)XK16-005-00312
石狮市清艺富民眼镜店 (闽)XK16-005-00726
南安市溪美长安街阳光眼镜店 (闽)XK16-117-00057
安溪县凤城小林眼镜店 (闽)XK16-117-00057
福建省古田县土产公司佳视眼镜店 (闽)XK16-005-00264
漳州开发区小林眼镜店 (闽)XK16-005-00075
龙岩市宝视眼镜有限公司 (闽)XK16-005-00258
汉坤百货光荣专柜 (闽)XK16-005-00075
福州市仓山区明视达眼镜店 (闽)XK16-005-00569
福州市鼓楼区万明眼镜店 (闽)XK16-005-00292
周宁县狮城镇亨得利眼镜店 (闽)XK16-005-00272
福清市融城后埔街国善眼镜店 (闽)XK16-005-00256
莆田市荔城区黄石忠锋钟表眼镜店 (闽)XK16-005-00318
三明市梅列区新华华益眼镜行 (闽)XK16-005-00699
长泰县武安新华眼镜店 (闽)XK16-005-00254
龙岩市新罗区华视眼镜店 (闽)XK16-117-00061
永安市东方眼镜城 (闽)XK16-117-00011
厦门市集美区鹭鹭达眼镜店 (闽)XK16-005-00265
福清市融城金视明眼镜店 (闽)XK16-005-00324
莆田市涵江区保尾亚丸眼镜店 (闽)XK16-005-00315
莆田市涵江区鉴前路宝岛眼镜店 (闽)XK16-117-00057
荔城区镇海视光眼镜店 (闽)XK16-005-00317
大田县建设镇福祥钟表眼镜店 (闽)XK16-005-00280
福州爵视眼镜有限公司 (闽)XK16-005-00674
晋江市英林镇富民眼镜店 (闽)XK16-005-00471
泉州市泉港区东临宝岛眼镜店 (闽)XK16-117-00057
龙岩市新罗区铭博眼镜店 (闽)XK16-005-00640
罗源县富明眼镜店 (闽)XK16-005-00330
厦门宝岛眼镜有限公司福清第一分店 (闽)XK16-005-00075
泉州市鲤城中区南国眼镜商店 (闽)XK16-005-00578
仙游县鲤城庆明验光配镜店 (闽)XK16-005-00309
福州市鼓楼区老还童眼镜店 (闽)XK16-005-00300
漳平市铭博眼镜店永福分店 (闽)XK16-005-00640
厦门市集美区石谷视达眼镜店 (闽)XK16-005-00543
福鼎市秦屿爱眼城眼睛店 (闽)XK16-005-00267
厦门市集美区庄视眼镜店 (闽)XK16-005-00542
闽清县东方眼镜有限公司 (闽)XK16-005-00275
闽侯县上街爱博眼镜闽江学院分店 (闽)XK16-005-00259
晶华宝岛（福建）眼镜有限公司福州第三分店 (闽)XK16-005-00737
罗源县城关益友眼镜店 (闽)XK16-005-00331
晋江市青阳小林眼镜店 (闽)XK16-117-00057
